TITLE: Solve the Grand Proximity Prize directly: pin δ* in the prize regime (successor to #389)
NUM COMMENTS: 76
0 lalalune len=2449
1 lalalune len=3513
2 lalalune len=2600
3 lalalune len=2514
4 lalalune len=2723
5 lalalune len=3079
6 lalalune len=1672
7 lalalune len=2136
8 lalalune len=2552
9 lalalune len=2857
10 lalalune len=1922
11 lalalune len=4287
12 lalalune len=2415
13 lalalune len=3000
14 lalalune len=2503
15 lalalune len=2411
16 lalalune len=4265
17 lalalune len=2730
18 lalalune len=2454
19 lalalune len=4918
20 lalalune len=2423
21 lalalune len=2190
22 lalalune len=2438
23 lalalune len=4536
24 lalalune len=3707
25 lalalune len=2537
26 lalalune len=3436
27 lalalune len=1747
28 lalalune len=3207
29 lalalune len=2801
30 lalalune len=1778
31 lalalune len=2007
32 lalalune len=2205
33 lalalune len=2286
34 lalalune len=2702
35 lalalune len=2635
36 lalalune len=2094
37 lalalune len=1883
38 lalalune len=1960
39 lalalune len=2497
40 lalalune len=2329
41 lalalune len=3993
42 lalalune len=3496
43 lalalune len=2526
44 wakesync len=1760
45 lalalune len=2953
46 lalalune len=8776
47 lalalune len=2637
48 lalalune len=2126
49 lalalune len=2882
50 lalalune len=3197
51 lalalune len=3248
52 lalalune len=3905
53 lalalune len=2792
54 lalalune len=3587
55 lalalune len=3110
56 lalalune len=2968
57 lalalune len=2760
58 lalalune len=3130
59 lalalune len=2815
60 lalalune len=2645
61 lalalune len=2527
62 lalalune len=2581
63 lalalune len=3218
64 lalalune len=2363
65 lalalune len=14709
66 lalalune len=2573
67 lalalune len=1203
68 lalalune len=5051
69 lalalune len=1548
70 lalalune len=2359
71 lalalune len=2646
72 lalalune len=2675
73 lalalune len=3971
74 lalalune len=1731
75 lalalune len=781
