G316 depth-3 dyadic wall floor (naive cap): PASS for n=2m, m in [2,199].
  depth-3 floor = 6m - 5         if m mod 3 in {0, 1}
                = 6m - 3         if m mod 3 == 2
  strictly above G215's depth-2 floor of 4m-3 at every m >= 2.

     n    m  m%3   depth2   depth3    brute    gap  witness (a,b,c)
     4    2    2        5        9        9      4  (0, 0, 1)
     6    3    0        9       13       13      4  (0, 1, 1)
     8    4    1       13       19       19      6  (1, 0, 2)
    10    5    2       17       27       27     10  (0, 0, 3)
    12    6    0       21       31       31     10  (0, 1, 3)
    16    8    2       29       45       45     16  (0, 0, 5)
    20   10    1       37       55       55     18  (1, 0, 6)
    24   12    0       45       67       67     22  (0, 1, 7)
    28   14    2       53       81       81     28  (0, 0, 9)
    32   16    1       61       91       91     30  (1, 0, 10)
    48   24    0       93      139      139     46  (0, 1, 15)
    64   32    2      125      189      189     64  (0, 0, 21)
    96   48    0      189      283      283     94  (0, 1, 31)
   128   64    1      253      379      379    126  (1, 0, 42)
   192   96    0      381      571      571    190  (0, 1, 63)
   256  128    2      509      765      765    256  (0, 0, 85)
   320  160    1      637      955      955    318  (1, 0, 106)
   384  192    0      765     1147     1147    382  (0, 1, 127)
   398  199    1      793     1189     1189    396  (1, 0, 132)
