G324 depth-4 dyadic wall floor (naive cap): PASS for n=2m, m in [2, 199].
  depth-4 floor = 8m - 7   (UNIVERSAL, for all m >= 2)
  strictly above G316's depth-3 floor of 6m-5 (or 6m-3) at every m >= 2.
  strictly above G215's depth-2 floor of 4m-3 at every m >= 2.

     n    m  m%4  m%3  depth2  depth3  depth4   brute  gap_d2  gap_d3  witness (a,b,c,d)
     4    2    2    2       5       9       9       9       4       0  (0, 0, 1, 0)
     6    3    3    0       9      13      17      17       8       4  (1, 0, 0, 1)
     8    4    0    1      13      19      25      25      12       6  (0, 0, 1, 1)
    10    5    1    2      17      27      33      33      16       6  (1, 0, 0, 2)
    12    6    2    0      21      31      41      41      20      10  (0, 0, 1, 2)
    16    8    0    2      29      45      57      57      28      12  (0, 0, 1, 3)
    20   10    2    1      37      55      73      73      36      18  (0, 0, 1, 4)
    24   12    0    0      45      67      89      89      44      22  (0, 0, 1, 5)
    28   14    2    2      53      81     105     105      52      24  (0, 0, 1, 6)
    32   16    0    1      61      91     121     121      60      30  (0, 0, 1, 7)
    48   24    0    0      93     139     185     185      92      46  (0, 0, 1, 11)
    64   32    0    2     125     189     249     249     124      60  (0, 0, 1, 15)
    96   48    0    0     189     283     377     377     188      94  (0, 0, 1, 23)
   128   64    0    1     253     379     505     505     252     126  (0, 0, 1, 31)
   192   96    0    0     381     571     761     761     380     190  (0, 0, 1, 47)
   256  128    0    2     509     765    1017    1017     508     252  (0, 0, 1, 63)
   320  160    0    1     637     955    1273    1273     636     318  (0, 0, 1, 79)
   384  192    0    0     765    1147    1529    1529     764     382  (0, 0, 1, 95)
   398  199    3    1     793    1189    1585    1585     792     396  (1, 0, 0, 99)
