label,n,p,q,generator,domain_size,image_size,injective,collision_count,collisions,phi_image_sha256
diagonal-n8192,8192,407868691662855659521,49788658650250935,236680460899107568239,4096,4096,True,0,-,ee648abd52562140e35429dac643df10ed126eada2b1c5e5da213f70c32d14f4
diagonal-n16384,16384,15701639920143120777217,958352045907172899,12180889865437947474890,8192,8192,True,0,-,ba7348a4165c9ccdd82741ddad7419126010ef4ae22dcbba61d2fd657bb9055f
diagonal-n32768,32768,604462909807314591055873,18446744073709551729,230202153472101846467079,16384,16384,True,0,-,f98e965f8dda84035bde6c40f6c8ece873fa1e838bb1316ce9c1f25cceea4fb6
diagonal-n65536,65536,23269888444199867340881921,355070319277952077345,6198253511415311201880903,32768,32768,True,0,-,6a41730fb51053cf8100afb0af1ee6678aed0abbec382b675d43dcff48535dc1
diagonal-n131072,131072,895816268326731990476390401,6834535738576751636325,419902121756313725058908177,65536,65536,True,0,-,0f6f3c24e4cad5050e40070286762adb31ac74abc5509fb74f6cd9bbadb45744
diagonal-n262144,262144,34486060752854843021406240769,131553881656092998586297,5078346324375079492808418744,131072,131072,True,0,-,cb18a0980522bbc88723902485fa238ec7008758cd781b8d2acf68f5369f8f9d
diagonal-n524288,524288,1327603023409064462153689858049,2532201811617020534808521,476036294031330756316322649743,262144,262144,True,0,-,529372ed4422968b129bec23e0df187b7b8e0b10a817322daf19c741a3bea961
diagonal-n1048576,1048576,51108469604461341804533103198209,48740834812604276470692733,29764259699423872041002825428936,524288,524288,True,0,-,bf9cafd299e57b45fd93e7118e114f87aa0b677f7c2e6733df7a4bcb88068b71
G173-accident,64,17318209,270597,9133071,32,29,False,3,4:11;2:13;23:30,1575f203047008dfd38a56c93a73e115079f7bec330cf8d9ea068618c62dcdb9
n512-offdiag-accident,512,138027521,269585,48322652,256,253,False,3,216:225;228:237;197:244,25f45c1f70c7655dfd2f979865cafe0edb1bc1ce5d7369c1a2e4b1686dbe2485
