C0REC 0 2 4 | 2 | h 3 : 8 9 3 | v 3 : 5 6 7 | w 3
C0REC 0 2 4 | 3 | h 3 : 8 1 11 | v 3 : 5 6 7 | w 3
C0REC 0 2 6 | 0 | h 5 : 8 9 10 11 14 | v 3 : 4 5 7 | w 3
C0REC 0 2 6 | 3 | h 5 : 8 1 10 3 14 | v 3 : 4 5 7 | w 3
C0REC 0 2 8 | 0 | h 3 : 9 10 13 | v 4 : 3 4 6 7 | w 6
C0REC 0 2 8 | 1 | h 3 : 1 10 5 | v 4 : 3 4 6 7 | w 6
C0REC 0 2 10 | 0 | h 5 : 8 9 4 13 14 | v 2 : 3 7 | w 2
C0REC 0 2 10 | 1 | h 5 : 8 1 4 13 6 | v 2 : 3 7 | w 2
C0REC 0 2 10 | 2 | h 5 : 8 9 4 5 6 | v 2 : 3 7 | w 2
C0REC 0 2 10 | 3 | h 5 : 8 1 4 5 14 | v 2 : 3 7 | w 2
C0REC 0 2 14 | 0 | h 5 : 9 10 4 6 15 | v 2 : 3 5 | w 2
C0REC 0 2 14 | 3 | h 5 : 1 10 4 6 7 | v 2 : 3 5 | w 2
C0REC 0 4 6 | 0 | h 5 : 8 10 11 13 14 | v 2 : 1 7 | w 2
C0REC 0 4 6 | 1 | h 5 : 8 2 11 5 14 | v 2 : 1 7 | w 2
C0REC 0 4 6 | 2 | h 5 : 8 10 3 5 14 | v 2 : 1 7 | w 2
C0REC 0 4 6 | 3 | h 5 : 8 2 3 13 14 | v 2 : 1 7 | w 2
C0REC 0 4 8 | 0 | h 3 : 10 12 14 | v 4 : 1 3 5 7 | w 6
C0REC 0 4 8 | 1 | h 3 : 2 12 6 | v 4 : 1 3 5 7 | w 6
C0REC 0 4 10 | 0 | h 3 : 8 13 15 | v 3 : 1 3 6 | w 3
C0REC 0 4 10 | 2 | h 3 : 8 5 7 | v 3 : 1 3 6 | w 3
C0REC 0 4 14 | 0 | h 5 : 8 1 10 6 15 | v 2 : 3 5 | w 2
C0REC 0 4 14 | 1 | h 5 : 8 9 2 6 15 | v 2 : 3 5 | w 2
C0REC 0 4 14 | 2 | h 5 : 8 9 10 6 7 | v 2 : 3 5 | w 2
C0REC 0 4 14 | 3 | h 5 : 8 1 2 6 7 | v 2 : 3 5 | w 2
C0REC 0 6 8 | 0 | h 3 : 11 14 15 | v 4 : 1 2 4 5 | w 6
C0REC 0 6 8 | 1 | h 3 : 3 14 7 | v 4 : 1 2 4 5 | w 6
C0REC 0 6 10 | 0 | h 5 : 2 11 4 13 14 | v 2 : 1 7 | w 2
C0REC 0 6 10 | 3 | h 5 : 2 3 4 5 14 | v 2 : 1 7 | w 2
C0REC 0 6 14 | 0 | h 5 : 8 2 11 4 15 | v 2 : 1 5 | w 2
C0REC 0 6 14 | 1 | h 5 : 8 10 3 4 15 | v 2 : 1 5 | w 2
C0REC 0 6 14 | 2 | h 5 : 8 10 11 4 7 | v 2 : 1 5 | w 2
C0REC 0 6 14 | 3 | h 5 : 8 2 3 4 7 | v 2 : 1 5 | w 2
C0REC 0 8 10 | 0 | h 3 : 1 2 13 | v 4 : 3 4 6 7 | w 6
C0REC 0 8 10 | 2 | h 3 : 9 2 5 | v 4 : 3 4 6 7 | w 6
C0REC 0 8 12 | 0 | h 3 : 2 4 14 | v 4 : 1 3 5 7 | w 6
C0REC 0 8 12 | 2 | h 3 : 10 4 6 | v 4 : 1 3 5 7 | w 6
C0REC 0 8 14 | 0 | h 3 : 3 6 15 | v 4 : 1 2 4 5 | w 6
C0REC 0 8 14 | 2 | h 3 : 11 6 7 | v 4 : 1 2 4 5 | w 6
C0REC 0 10 14 | 1 | h 5 : 8 2 5 6 15 | v 3 : 1 3 4 | w 3
C0REC 0 10 14 | 2 | h 5 : 8 2 13 6 7 | v 3 : 1 3 4 | w 3
C0REC 1 3 5 | 3 | h 3 : 9 2 13 | v 4 : 0 4 6 7 | w 6
C0REC 1 3 7 | 0 | h 5 : 9 10 11 13 15 | v 3 : 0 4 6 | w 3
C0REC 1 3 7 | 1 | h 5 : 9 2 11 5 15 | v 3 : 0 4 6 | w 3
C0REC 1 3 9 | 0 | h 5 : 10 11 4 13 14 | v 2 : 0 7 | w 2
C0REC 1 3 9 | 1 | h 5 : 2 11 4 13 6 | v 2 : 0 7 | w 2
