C0REC 0 2 4 | 2 | h 5 : 16 17 3 20 8 | v 10 : 5 6 7 9 10 11 12 13 14 15 | w 252
C0REC 0 2 4 | 3 | h 5 : 16 1 19 20 8 | v 10 : 5 6 7 9 10 11 12 13 14 15 | w 252
C0REC 0 2 6 | 0 | h 7 : 16 17 18 19 20 22 8 | v 9 : 5 7 9 10 11 12 13 14 15 | w 126
C0REC 0 2 6 | 1 | h 7 : 16 1 18 19 4 22 8 | v 9 : 5 7 9 10 11 12 13 14 15 | w 126
C0REC 0 2 6 | 2 | h 7 : 16 17 18 3 4 22 8 | v 9 : 5 7 9 10 11 12 13 14 15 | w 126
C0REC 0 2 6 | 3 | h 7 : 16 1 18 3 20 22 8 | v 9 : 5 7 9 10 11 12 13 14 15 | w 126
C0REC 0 2 8 | 0 | h 5 : 16 17 18 20 21 | v 10 : 3 6 7 9 10 11 12 13 14 15 | w 252
C0REC 0 2 8 | 1 | h 5 : 16 1 18 20 5 | v 10 : 3 6 7 9 10 11 12 13 14 15 | w 252
C0REC 0 2 8 | 2 | h 5 : 16 17 18 4 5 | v 10 : 3 6 7 9 10 11 12 13 14 15 | w 252
C0REC 0 2 8 | 3 | h 5 : 16 1 18 4 21 | v 10 : 3 6 7 9 10 11 12 13 14 15 | w 252
C0REC 0 2 10 | 0 | h 7 : 16 17 18 21 22 8 26 | v 9 : 3 4 7 9 11 12 13 14 15 | w 126
C0REC 0 2 10 | 1 | h 7 : 16 1 18 21 6 8 26 | v 9 : 3 4 7 9 11 12 13 14 15 | w 126
C0REC 0 2 10 | 2 | h 7 : 16 17 18 5 6 8 26 | v 9 : 3 4 7 9 11 12 13 14 15 | w 126
C0REC 0 2 10 | 3 | h 7 : 16 1 18 5 22 8 26 | v 9 : 3 4 7 9 11 12 13 14 15 | w 126
C0REC 0 2 12 | 0 | h 7 : 16 17 18 22 23 8 28 | v 9 : 3 4 5 9 10 11 13 14 15 | w 126
C0REC 0 2 12 | 1 | h 7 : 16 1 18 22 7 8 28 | v 9 : 3 4 5 9 10 11 13 14 15 | w 126
C0REC 0 2 12 | 2 | h 7 : 16 17 18 6 7 8 28 | v 9 : 3 4 5 9 10 11 13 14 15 | w 126
C0REC 0 2 12 | 3 | h 7 : 16 1 18 6 23 8 28 | v 9 : 3 4 5 9 10 11 13 14 15 | w 126
C0REC 0 2 14 | 0 | h 5 : 16 17 18 23 30 | v 11 : 3 4 5 6 8 9 10 11 12 13 15 | w 462
C0REC 0 2 14 | 3 | h 5 : 16 1 18 7 30 | v 11 : 3 4 5 6 8 9 10 11 12 13 15 | w 462
C0REC 0 2 16 | 0 | h 3 : 17 18 25 | v 12 : 3 4 5 6 7 8 10 11 12 13 14 15 | w 924
C0REC 0 2 16 | 1 | h 3 : 1 18 9 | v 12 : 3 4 5 6 7 8 10 11 12 13 14 15 | w 924
C0REC 0 2 18 | 0 | h 5 : 16 17 8 25 26 | v 10 : 3 4 5 6 7 11 12 13 14 15 | w 252
C0REC 0 2 18 | 1 | h 5 : 16 1 8 25 10 | v 10 : 3 4 5 6 7 11 12 13 14 15 | w 252
C0REC 0 2 18 | 2 | h 5 : 16 17 8 9 10 | v 10 : 3 4 5 6 7 11 12 13 14 15 | w 252
C0REC 0 2 18 | 3 | h 5 : 16 1 8 9 26 | v 10 : 3 4 5 6 7 11 12 13 14 15 | w 252
C0REC 0 2 20 | 0 | h 7 : 16 17 18 4 8 26 27 | v 9 : 3 5 6 7 9 12 13 14 15 | w 126
C0REC 0 2 20 | 1 | h 7 : 16 1 18 4 8 26 11 | v 9 : 3 5 6 7 9 12 13 14 15 | w 126
C0REC 0 2 20 | 2 | h 7 : 16 17 18 4 8 10 11 | v 9 : 3 5 6 7 9 12 13 14 15 | w 126
C0REC 0 2 20 | 3 | h 7 : 16 1 18 4 8 10 27 | v 9 : 3 5 6 7 9 12 13 14 15 | w 126
