p=17 n=16 r=7 (x^10,x^15) a=8: #bad=17
p=97 n=16 r=7 (x^10,x^15) a=8: #bad=97
p=113 n=16 r=7 (x^10,x^15) a=8: #bad=113
p=193 n=16 r=7 (x^10,x^15) a=8: #bad=161
p=241 n=16 r=7 (x^10,x^15) a=8: #bad=161
p=257 n=16 r=7 (x^10,x^15) a=8: #bad=177
p=337 n=16 r=7 (x^10,x^15) a=8: #bad=209
p=353 n=16 r=7 (x^10,x^15) a=8: #bad=161
p=401 n=16 r=7 (x^10,x^15) a=8: #bad=161
p=433 n=16 r=7 (x^10,x^15) a=8: #bad=193
p=449 n=16 r=7 (x^10,x^15) a=8: #bad=177
p=577 n=16 r=7 (x^10,x^15) a=8: #bad=209
p=593 n=16 r=7 (x^10,x^15) a=8: #bad=225
p=641 n=16 r=7 (x^10,x^15) a=8: #bad=209
p=673 n=16 r=7 (x^10,x^15) a=8: #bad=209
p=769 n=16 r=7 (x^10,x^15) a=8: #bad=225
p=881 n=16 r=7 (x^10,x^15) a=8: #bad=225
p=929 n=16 r=7 (x^10,x^15) a=8: #bad=225
p=2013265921 n=16 r=7 (x^10,x^15) a=8: #bad=225
